key,word1,word2,word3,word4 예배,word5,word6,word7,
비전,진로,꿈,비젼,아침 예배,,,,
개발,계발,게발,,,,,,
몇시,시간,언제,시작,,,,,
학부,학과,ict,아창,,,,,
사무실,사무소,,,,,,,
ICT,아창,아이씨티,아씨티,ict,아이씨티 창업학부,창업학부,창업,창업학과
심심하다,심심해,졸려,심심,,,,,
에벤에셀,에벤,evenecel,,,,,,
전화번호,번호,연락,연락처,연락법,연락하는 법,연락소,,
헤브론홀,헤브론,공공장소,장소,,,,,
수칙,법칙,원칙,지키는 법,지켜야 할 법,,,,
고민,생각,기도제목,,,,,,
알려주세요,알고 싶어요,알려 주세요,뭐에요,무엇인가요,뭔가요,,,
시간,언제,when,은제,,,,,
